Cow-Calf production costs and returns per cow,,,,,,,,,,,,,,,,,,,,,,,
(dollars per cow except where indicated),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Sum of Value,,,,,,,,,,,,,,,,,,,,,,,
,Base survey of 2008,,,,,,,,,,,Base survey of 1996,,,,,,,,,,,
,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996
1,,,,,,,,,,,,,,,,,,,,,,,
Gross value of production,,,,,,,,,,,,,,,,,,,,,,,
370,,,,,,,,,,,,,,,,,,,,,,,
Calves,465.75,460.27,438.35,676.70,723.28,495.88,460.27,388.70,334.87,289.62,301.27,303.31,328.03,341.09,310.13,260.19,235.97,261.46,263.63,223.93,207.34,208.64,143.59
380,,,,,,,,,,,,,,,,,,,,,,,
Stockers and Yearlings,94.41,96.83,97.64,119.42,124.27,101.67,101.67,94.47,79.95,70.14,76.38,182.42,182.32,186.03,176.16,158.66,136.43,148.82,144.66,130.95,122.96,130.03,109.90
430,,,,,,,,,,,,,,,,,,,,,,,
Other cattle ? ,99.79,109.67,118.44,164.19,172.16,131.19,128.64,113.45,88.59,72.08,80.79,96.69,93.18,105.49,102.40,87.20,74.85,83.29,76.97,71.34,68.73,71.82,60.44
510,,,,,,,,,,,,,,,,,,,,,,,
"Total, gross value of production ? ",659.95,666.77,654.43,960.31,"1,019.71",728.74,690.58,596.62,503.41,431.84,458.44,589.54,610.57,639.19,595.01,512.32,453.37,499.72,491.31,432.26,404.89,416.29,319.83
2,,,,,,,,,,,,,,,,,,,,,,,
Operating costs,,,,,,,,,,,,,,,,,,,,,,,
540,,,,,,,,,,,,,,,,,,,,,,,
Purchased feed,96.01,93.47,100.26,104.37,110.70,107.88,92.30,88.57,74.54,87.40,77.37,62.64,50.87,45.61,48.58,47.05,44.82,43.03,39.12,38.38,42.18,48.36,50.21
560,,,,,,,,,,,,,,,,,,,,,,,
Homegrown harvested feed,174.60,176.12,172.66,181.57,193.98,221.68,237.76,191.46,145.47,150.83,172.90,192.17,166.70,130.24,124.92,133.23,140.80,140.11,126.72,116.41,130.78,140.73,145.66
570,,,,,,,,,,,,,,,,,,,,,,,
Grazed feed,114.00,117.28,119.43,126.56,111.37,107.96,102.91,102.05,95.21,96.49,101.01,129.17,119.91,119.81,127.60,119.57,119.43,115.91,109.23,112.99,111.55,125.48,116.55
720,,,,,,,,,,,,,,,,,,,,,,,
"Total, feed costs ? ",384.61,386.87,392.35,412.50,416.05,437.52,432.97,382.08,315.22,334.72,351.28,383.98,337.48,295.66,301.10,299.85,305.05,299.05,275.07,267.78,284.51,314.57,312.42
780,,,,,,,,,,,,,,,,,,,,,,,
Cattle for backgrounding,53.81,53.18,50.65,78.18,83.57,57.29,53.18,44.89,38.61,33.58,34.86,82.55,82.87,84.48,80.08,71.99,62.08,68.10,66.62,59.76,56.27,59.24,49.42
800,,,,,,,,,,,,,,,,,,,,,,,
